No,station_name,lacation,train_num,train_num_count
33,天津西站,"117.16997989595211,39.16426510926558","['1461', '1462', 'C2605', 'C2608', 'C2610', 'C2613', 'C2614', 'C2615', 'C2616', 'C2617', 'C2619', 'C2621', 'C2622', 'C2623', 'C2624', 'C2625', 'C2626', 'C2627', 'C2628', 'C2629', 'C2630', 'C2631', 'C2632', 'C2633', 'C2634', 'C2635', 'C2637', 'C2638', 'C2639', 'C2640', 'C2642', 'C2643', 'C2644', 'C2646', 'C2647', 'C2648', 'C2649', 'C2650', 'C2651', 'C2652', 'C2653', 'C2654', 'C2655', 'C2657', 'C2660', 'C2661', 'C2664', 'C2666', 'C2668', 'C2669', 'C2671', 'C2674', 'C2678', 'C2681', 'D27', 'D28', 'D706', 'D709', 'D711', 'D718', 'D726', 'G1201', 'G1202', 'G1203', 'G1204', 'G1205', 'G1206', 'G1207', 'G1208', 'G1211', 'G1212', 'G1213', 'G1214', 'G1215', 'G1216', 'G1217', 'G1218', 'G1221', 'G1222', 'G1223', 'G1224', 'G1225', 'G1226', 'G1227', 'G1228', 'G1229', 'G1230', 'G1231', 'G1232', 'G1233', 'G1234', 'G1235', 'G1236', 'G1237', 'G1238', 'G1239', 'G1240', 'G1241', 'G1242', 'G1243', 'G1244', 'G1245', 'G1246', 'G1247', 'G1248', 'G1251', 'G1252', 'G1253', 'G1254', 'G1255', 'G1256', 'G1257', 'G1258', 'G1261', 'G1262', 'G1263', 'G1264', 'G1265', 'G1266', 'G1267', 'G1268', 'G1271', 'G1272', 'G1273', 'G1274', 'G1275', 'G1276', 'G1277', 'G1278', 'G1281', 'G1282', 'G1283', 'G1284', 'G1285', 'G1286', 'G1287', 'G1288', 'G1289', 'G1290', 'G1291', 'G1292', 'G1293', 'G1294', 'G1295', 'G1296', 'G1297', 'G1298', 'G1299', 'G1300', 'G1701', 'G1702', 'G1703', 'G1704', 'G1709', 'G1710', 'G1711', 'G1712', 'G1713', 'G1714', 'G2601', 'G2602', 'G2603', 'G2604', 'G2605', 'G2606', 'G2607', 'G2608', 'G2609', 'G261', 'G2610', 'G2621', 'G2622', 'G2623', 'G2624', 'G2625', 'G2626', 'G2627', 'G2628', 'G2629', 'G263', 'G2630', 'G2631', 'G2632', 'G2633', 'G2634', 'G2635', 'G2636', 'G264', 'G2647', 'G2648', 'G2649', 'G265', 'G2650', 'G2651', 'G2652', 'G2653', 'G2654', 'G2655', 'G2656', 'G2657', 'G2658', 'G266', 'G267', 'G268', 'G270', 'G271', 'G272', 'G291', 'G292', 'G293', 'G294', 'G305', 'G306', 'G329', 'G330', 'G3491', 'G3492', 'G3493', 'G3494', 'G3495', 'G3496', 'G3497', 'G3498', 'G363', 'G366', 'G373', 'G374', 'G389', 'G390', 'G391', 'G392', 'G441', 'G442', 'G445', 'G446', 'G447', 'G448', 'G6270', 'G6271', 'G6272', 'G6273', 'G6274', 'G6275', 'G6276', 'G6277', 'G6278', 'G6281', 'G6282', 'G6284', 'G6285', 'G6286', 'G6287', 'G6288', 'G6288', 'G6289', 'G6290', 'G6291', 'G6292', 'G6293', 'G6294', 'G6295', 'G6296', 'G6297', 'G6721', 'G6728', 'G6753', 'G6753', 'G7805', 'G7806', 'G8901', 'G8902', 'G8904', 'G8910', 'G8912', 'G8915', 'G8917', 'G8918', 'G8924', 'G8933', 'G8940', 'G9397', 'G9402', 'G9403', 'G9404', 'G9405', 'K102', 'K1785', 'K285', 'K286', 'K411', 'T109', 'T110', 'T35', 'T36', 'Z155', 'Z158', 'Z159', 'Z160', 'Z281', 'Z282', 'Z283', 'Z284']",302
34,塘沽站,"117.64823244946186,39.03318360928707","['2601', '2604', 'C2302', 'C2306', 'C2307', 'C2308', 'C2552', 'C2553', 'C2554', 'C2555', 'C2556', 'C2557', 'C2558', 'C2559', 'C2560', 'C2561', 'C2562', 'C2563', 'C2565', 'C2566', 'C2567', 'C2569', 'C2571', 'C2573', 'C2574', 'C2577', 'C2581', 'C2582', 'C2583', 'C2584', 'C2585', 'C2586', 'C2587', 'C2588', 'C2589', 'C2591', 'C2593', 'C2594', 'C2596', 'C2597', 'K1391', 'K1394', 'K1449', 'K1452', 'K2285', 'K2288', 'K386', 'K387', 'K568', 'K569', 'K726', 'K727', 'K937', 'K940', 'K973', 'K976', 'K978', 'K979']",58
35,武清站,"117.02289799920909,39.37900509874352","['C2201', 'C2202', 'C2203', 'C2204', 'C2205', 'C2206', 'C2208', 'C2209', 'C2210', 'C2211', 'C2212', 'C2213', 'C2214', 'C2216', 'C2217', 'C2218', 'C2220', 'C2221', 'C2222', 'C2223', 'C2224', 'C2225', 'C2226', 'C2227', 'C2228', 'C2230', 'C2552', 'C2557', 'C2558', 'C2560', 'C2566', 'C2569', 'C2571', 'C2576', 'C2577', 'C2579', 'C2583', 'C2584', 'C2585', 'C2587', 'C2589', 'C2595', 'C2608', 'C2616', 'C2638', 'C2646', 'C2649', 'C2652', 'C2660', 'C2669', 'G8927']",51
36,下仓站,"117.44057305116182,39.801481715784554","['S901', 'S902', 'S911']",3
37,杨村站,"117.0722211700149,39.35957128501804","['1462', 'K1785', 'K286']",3
38,杨柳青站,"117.00899366720346,39.14888819326028","['K213', 'K335', 'K338', 'K345', 'K348', 'K4575', 'K4578', 'K5203', 'K551', 'K552', 'K553', 'K554', 'K969', 'K972']",14
39,白沟站,"116.09925138062522,39.0932468312929","['C125', 'C126', 'C127', 'C129', 'C130', 'G1216', 'G1217', 'G1238', 'G1239', 'G1261', 'G1264', 'G1282', 'G1283', 'G1285', 'G1288', 'G1289', 'G1290', 'G1291', 'G1292', 'G1297', 'G1298', 'G1299', 'G1300', 'G1713', 'G2602', 'G2603', 'G2605', 'G2608', 'G2609', 'G2610', 'G3491', 'G3492', 'G3493', 'G3494', 'G366', 'G6272', 'G6273', 'G6274', 'G6275', 'G6277', 'G6278', 'G6284', 'G6285', 'G6288', 'G6288', 'G6290', 'G6291', 'G6292', 'G6293', 'G6296', 'G6297', 'G6728', 'G7805', 'G9404', 'G9405', 'K1526', 'K1527', 'T251', 'T252', 'T253', 'T254']",61
40,北马圈子站,"117.61013037210338,40.52699506577975","['6419', '6420', '6433', '6434']",4
41,泊头站,"116.59312825170056,38.06652380567788","['1228', '1229', '1461', 'K1391', 'K1394', 'K1450', 'K1451', 'K1983', 'K1986', 'K213', 'K257', 'K285', 'K286', 'K335', 'K338', 'K345', 'K346', 'K347', 'K348', 'K4576', 'K4577', 'K5203', 'K5204', 'K552', 'K553', 'K701', 'K704', 'K969', 'K972']",29
42,霸州北站,"116.33364246446062,39.191957208058255","['C2703', 'C2706', 'C2710', 'C2711', 'C2712', 'C2714', 'C2715', 'C2716', 'C2719', 'C2721', 'C2722', 'C2723', 'C2726', 'C2727', 'C2730', 'C2731']",16
